Per Tar Summary:
2206_002: .gz = 109, .pdf = 109
1804_008: .gz = 100, .pdf = 100
2409_141: .gz = 0, .pdf = 0
1802_027: .gz = 0, .pdf = 0
1408_005: .gz = 138, .pdf = 138
2206_050: .gz = 0, .pdf = 0
2304_027: .gz = 0, .pdf = 0
2409_038: .gz = 0, .pdf = 0
1606_016: .gz = 0, .pdf = 0
1710_029: .gz = 0, .pdf = 0
2306_047: .gz = 0, .pdf = 0
2004_007: .gz = 266, .pdf = 266
2103_070: .gz = 0, .pdf = 0
1404_009: .gz = 0, .pdf = 0
2312_112: .gz = 0, .pdf = 0
2107_070: .gz = 0, .pdf = 0
1705_002: .gz = 314, .pdf = 314
2206_084: .gz = 0, .pdf = 0
9703_001: .gz = 1403, .pdf = 1403
2103_058: .gz = 0, .pdf = 0
1612_003: .gz = 316, .pdf = 316
2201_034: .gz = 0, .pdf = 0
2012_041: .gz = 0, .pdf = 0
2004_026: .gz = 240, .pdf = 240
2107_058: .gz = 0, .pdf = 0
2401_047: .gz = 0, .pdf = 0
2004_017: .gz = 258, .pdf = 258
1611_020: .gz = 0, .pdf = 0
1703_001: .gz = 346, .pdf = 346
1612_018: .gz = 0, .pdf = 0
1507_002: .gz = 318, .pdf = 318
1805_034: .gz = 0, .pdf = 0
2112_036: .gz = 0, .pdf = 0
2106_027: .gz = 0, .pdf = 0
2406_002: .gz = 97, .pdf = 97
2312_070: .gz = 0, .pdf = 0
1207_004: .gz = 556, .pdf = 556
2406_050: .gz = 0, .pdf = 0
2104_015: .gz = 0, .pdf = 0
2311_002: .gz = 63, .pdf = 63
2201_007: .gz = 0, .pdf = 0
2108_051: .gz = 0, .pdf = 0
2311_050: .gz = 0, .pdf = 0
2310_057: .gz = 0, .pdf = 0
0007_001: .gz = 1792, .pdf = 1792
2312_058: .gz = 0, .pdf = 0
2403_111: .gz = 0, .pdf = 0
2401_078: .gz = 0, .pdf = 0
2308_021: .gz = 0, .pdf = 0
2305_071: .gz = 0, .pdf = 0
1805_007: .gz = 194, .pdf = 194
2406_084: .gz = 0, .pdf = 0
2302_020: .gz = 0, .pdf = 0
1803_021: .gz = 0, .pdf = 0
9507_001: .gz = 1015, .pdf = 1015
2201_026: .gz = 0, .pdf = 0
2203_097: .gz = 0, .pdf = 0
9303_001: .gz = 492, .pdf = 492
2311_084: .gz = 0, .pdf = 0
2201_017: .gz = 0, .pdf = 0
2404_009: .gz = 0, .pdf = 0
1907_016: .gz = 58, .pdf = 58
2411_027: .gz = 0, .pdf = 0
2302_007: .gz = 0, .pdf = 0
1707_003: .gz = 263, .pdf = 263
1805_026: .gz = 0, .pdf = 0
2106_078: .gz = 0, .pdf = 0
1604_017: .gz = 0, .pdf = 0
1805_017: .gz = 0, .pdf = 0
2307_088: .gz = 0, .pdf = 0
2404_052: .gz = 0, .pdf = 0
2208_021: .gz = 0, .pdf = 0
0504_002: .gz = 378, .pdf = 378
1707_018: .gz = 0, .pdf = 0
2211_083: .gz = 0, .pdf = 0
2011_021: .gz = 0, .pdf = 0
2103_060: .gz = 0, .pdf = 0
1902_019: .gz = 30, .pdf = 30
2302_026: .gz = 0, .pdf = 0
2206_065: .gz = 0, .pdf = 0
2401_074: .gz = 0, .pdf = 0
2107_060: .gz = 0, .pdf = 0
2410_164: .gz = 0, .pdf = 0
2303_035: .gz = 0, .pdf = 0
2112_032: .gz = 0, .pdf = 0
2007_044: .gz = 29, .pdf = 29
2402_097: .gz = 0, .pdf = 0
2010_037: .gz = 0, .pdf = 0
1704_023: .gz = 0, .pdf = 0
2410_014: .gz = 0, .pdf = 0
1803_004: .gz = 222, .pdf = 222
2310_088: .gz = 0, .pdf = 0
2107_029: .gz = 0, .pdf = 0
2207_009: .gz = 0, .pdf = 0
1303_005: .gz = 138, .pdf = 138
1511_002: .gz = 302, .pdf = 302
2309_027: .gz = 0, .pdf = 0
2101_040: .gz = 0, .pdf = 0
0803_002: .gz = 373, .pdf = 373
2211_056: .gz = 0, .pdf = 0
2102_049: .gz = 0, .pdf = 0
2406_123: .gz = 0, .pdf = 0
2311_110: .gz = 0, .pdf = 0
0511_002: .gz = 349, .pdf = 349
1402_007: .gz = 351, .pdf = 351
2006_049: .gz = 265, .pdf = 265
2101_033: .gz = 0, .pdf = 0
2408_107: .gz = 0, .pdf = 0
2105_041: .gz = 0, .pdf = 0
2106_074: .gz = 0, .pdf = 0
2212_021: .gz = 0, .pdf = 0
2207_052: .gz = 0, .pdf = 0
2406_108: .gz = 0, .pdf = 0
2312_060: .gz = 0, .pdf = 0
1709_005: .gz = 243, .pdf = 243
2410_106: .gz = 0, .pdf = 0
9508_001: .gz = 1028, .pdf = 1028
2409_122: .gz = 0, .pdf = 0
1710_022: .gz = 0, .pdf = 0
1411_009: .gz = 23, .pdf = 23
1606_022: .gz = 0, .pdf = 0
1701_004: .gz = 202, .pdf = 202
2206_042: .gz = 0, .pdf = 0
2011_004: .gz = 106, .pdf = 106
1011_006: .gz = 0, .pdf = 0
1911_040: .gz = 36, .pdf = 36
2312_029: .gz = 0, .pdf = 0
2209_001: .gz = 158, .pdf = 158
2409_131: .gz = 0, .pdf = 0
1501_005: .gz = 166, .pdf = 166
2205_009: .gz = 0, .pdf = 0
2110_016: .gz = 0, .pdf = 0
2110_029: .gz = 0, .pdf = 0
2008_015: .gz = 0, .pdf = 0
0904_002: .gz = 613, .pdf = 613
2407_094: .gz = 0, .pdf = 0
1602_008: .gz = 60, .pdf = 60
2209_038: .gz = 0, .pdf = 0
2005_004: .gz = 313, .pdf = 313
2309_078: .gz = 0, .pdf = 0
2205_052: .gz = 0, .pdf = 0
2010_014: .gz = 0, .pdf = 0
1504_002: .gz = 398, .pdf = 398
1810_025: .gz = 0, .pdf = 0
2408_049: .gz = 0, .pdf = 0
2305_057: .gz = 0, .pdf = 0
1307_001: .gz = 533, .pdf = 533
1012_002: .gz = 594, .pdf = 594
2211_091: .gz = 0, .pdf = 0
1001_004: .gz = 0, .pdf = 0
2406_113: .gz = 0, .pdf = 0
2406_042: .gz = 0, .pdf = 0
2304_044: .gz = 0, .pdf = 0
0804_003: .gz = 0, .pdf = 0
1909_005: .gz = 184, .pdf = 184
2201_053: .gz = 0, .pdf = 0
2407_039: .gz = 0, .pdf = 0
2311_113: .gz = 0, .pdf = 0
2311_042: .gz = 0, .pdf = 0
2107_051: .gz = 0, .pdf = 0
2410_043: .gz = 0, .pdf = 0
1512_006: .gz = 288, .pdf = 288
2401_044: .gz = 0, .pdf = 0
2405_014: .gz = 0, .pdf = 0
2411_091: .gz = 0, .pdf = 0
0110_001: .gz = 1581, .pdf = 1581
2007_061: .gz = 0, .pdf = 0
2403_080: .gz = 0, .pdf = 0
1804_032: .gz = 0, .pdf = 0
2407_068: .gz = 0, .pdf = 0
1907_030: .gz = 0, .pdf = 0
2411_130: .gz = 0, .pdf = 0
2112_012: .gz = 0, .pdf = 0
1806_009: .gz = 130, .pdf = 130
1902_033: .gz = 0, .pdf = 0
2309_074: .gz = 0, .pdf = 0
2207_039: .gz = 0, .pdf = 0
1906_024: .gz = 12, .pdf = 12
2308_082: .gz = 0, .pdf = 0
1908_010: .gz = 136, .pdf = 136
1910_010: .gz = 224, .pdf = 224
2112_038: .gz = 0, .pdf = 0
2106_044: .gz = 0, .pdf = 0
2203_009: .gz = 0, .pdf = 0
1508_007: .gz = 0, .pdf = 0
1406_006: .gz = 0, .pdf = 0
2312_051: .gz = 0, .pdf = 0
2202_002: .gz = 90, .pdf = 90
1611_016: .gz = 0, .pdf = 0
1712_001: .gz = 308, .pdf = 308
1505_014: .gz = 0, .pdf = 0
1602_017: .gz = 0, .pdf = 0
1405_004: .gz = 238, .pdf = 238
0709_001: .gz = 1098, .pdf = 1098
2210_094: .gz = 0, .pdf = 0
2202_050: .gz = 0, .pdf = 0
2102_034: .gz = 0, .pdf = 0
2108_063: .gz = 0, .pdf = 0
2006_034: .gz = 208, .pdf = 208
1702_012: .gz = 0, .pdf = 0
2203_052: .gz = 0, .pdf = 0
2408_092: .gz = 0, .pdf = 0
2110_051: .gz = 0, .pdf = 0
1910_028: .gz = 198, .pdf = 198
1702_001: .gz = 347, .pdf = 347
1912_010: .gz = 226, .pdf = 226
2107_022: .gz = 0, .pdf = 0
0302_001: .gz = 1404, .pdf = 1404
2102_020: .gz = 0, .pdf = 0
2409_025: .gz = 0, .pdf = 0
2003_009: .gz = 183, .pdf = 183
2306_109: .gz = 0, .pdf = 0
2404_027: .gz = 0, .pdf = 0
1311_006: .gz = 240, .pdf = 240
2010_043: .gz = 0, .pdf = 0
2410_117: .gz = 0, .pdf = 0
1902_028: .gz = 0, .pdf = 0
2210_039: .gz = 0, .pdf = 0
1701_003: .gz = 224, .pdf = 224
2402_009: .gz = 0, .pdf = 0
2102_007: .gz = 0, .pdf = 0
2302_016: .gz = 0, .pdf = 0
2109_020: .gz = 0, .pdf = 0
2302_029: .gz = 0, .pdf = 0
2006_007: .gz = 221, .pdf = 221
2411_044: .gz = 0, .pdf = 0
1901_031: .gz = 0, .pdf = 0
2403_049: .gz = 0, .pdf = 0
2401_109: .gz = 0, .pdf = 0
1701_018: .gz = 0, .pdf = 0
2206_024: .gz = 0, .pdf = 0
1904_031: .gz = 0, .pdf = 0
1812_013: .gz = 15, .pdf = 15
2312_022: .gz = 0, .pdf = 0
2101_021: .gz = 0, .pdf = 0
2411_136: .gz = 0, .pdf = 0
2102_026: .gz = 0, .pdf = 0
2405_043: .gz = 0, .pdf = 0
2304_061: .gz = 0, .pdf = 0
2006_026: .gz = 211, .pdf = 211
2408_034: .gz = 0, .pdf = 0
2212_082: .gz = 0, .pdf = 0
2006_017: .gz = 292, .pdf = 292
2407_142: .gz = 0, .pdf = 0
2110_022: .gz = 0, .pdf = 0
2407_047: .gz = 0, .pdf = 0
2206_006: .gz = 0, .pdf = 0
2207_027: .gz = 0, .pdf = 0
2002_009: .gz = 290, .pdf = 290
1010_007: .gz = 0, .pdf = 0
2404_078: .gz = 0, .pdf = 0
1804_012: .gz = 0, .pdf = 0
1509_003: .gz = 294, .pdf = 294
1911_021: .gz = 192, .pdf = 192
2408_020: .gz = 0, .pdf = 0
1901_013: .gz = 98, .pdf = 98
1804_001: .gz = 218, .pdf = 218
1810_014: .gz = 0, .pdf = 0
2309_044: .gz = 0, .pdf = 0
2209_064: .gz = 0, .pdf = 0
1711_011: .gz = 17, .pdf = 17
1904_013: .gz = 179, .pdf = 179
2007_005: .gz = 239, .pdf = 239
2209_079: .gz = 0, .pdf = 0
2207_047: .gz = 0, .pdf = 0
1509_018: .gz = 0, .pdf = 0
1705_006: .gz = 45, .pdf = 45
2307_080: .gz = 0, .pdf = 0
2004_030: .gz = 271, .pdf = 271
2303_071: .gz = 0, .pdf = 0
2408_007: .gz = 0, .pdf = 0
1310_005: .gz = 342, .pdf = 342
1905_019: .gz = 69, .pdf = 69
2211_023: .gz = 0, .pdf = 0
1604_012: .gz = 83, .pdf = 83
2203_039: .gz = 0, .pdf = 0
1208_009: .gz = 56, .pdf = 56
2108_019: .gz = 0, .pdf = 0
1607_009: .gz = 33, .pdf = 33
2311_024: .gz = 0, .pdf = 0
1305_008: .gz = 0, .pdf = 0
1507_006: .gz = 61, .pdf = 61
2205_027: .gz = 0, .pdf = 0
2306_089: .gz = 0, .pdf = 0
1101_005: .gz = 72, .pdf = 72
1608_020: .gz = 0, .pdf = 0
2111_037: .gz = 0, .pdf = 0
2408_026: .gz = 0, .pdf = 0
2406_006: .gz = 0, .pdf = 0
2405_117: .gz = 0, .pdf = 0
0606_001: .gz = 888, .pdf = 888
2207_078: .gz = 0, .pdf = 0
